"VRSTA VOZILA";"OBÈINE";"LETO";Cestna vozila konec leta (31.12.)
"Vozila - SKUPAJ";"Brezovica";"2011";7694
"Vozila - SKUPAJ";"Brezovica";"2012";7865
"Vozila - SKUPAJ";"Brezovica";"2013";7956
"Vozila - SKUPAJ";"Brezovica";"2014";8148
"Vozila - SKUPAJ";"Brezovica";"2015";8276
"Vozila - SKUPAJ";"Brezovica";"2016";8432
"Vozila - SKUPAJ";"Brezovica";"2017";8712
"Vozila - SKUPAJ";"Brezovica";"2018";9025
"Vozila - SKUPAJ";"Brezovica";"2019";9385
"Vozila - SKUPAJ";"Brežice";"2010";17123
"Vozila - SKUPAJ";"Brežice";"2011";17401
"Vozila - SKUPAJ";"Brežice";"2012";17564
"Vozila - SKUPAJ";"Brežice";"2013";17777
"Vozila - SKUPAJ";"Brežice";"2014";18017
"Vozila - SKUPAJ";"Brežice";"2015";18237
"Vozila - SKUPAJ";"Brežice";"2016";18774
"Vozila - SKUPAJ";"Brežice";"2017";19304
"Vozila - SKUPAJ";"Brežice";"2018";19954
"Vozila - SKUPAJ";"Brežice";"2019";20544
"Vozila - SKUPAJ";"Cankova";"2010";1524
"Vozila - SKUPAJ";"Cankova";"2011";1547
"Vozila - SKUPAJ";"Cankova";"2012";1568
"Vozila - SKUPAJ";"Cankova";"2013";1573
"Vozila - SKUPAJ";"Cankova";"2014";1581
"Vozila - SKUPAJ";"Cankova";"2015";1602
"Vozila - SKUPAJ";"Cankova";"2016";1620
"Vozila - SKUPAJ";"Cankova";"2017";1632
"Vozila - SKUPAJ";"Cankova";"2018";1683
"Vozila - SKUPAJ";"Cankova";"2019";1738
"Vozila - SKUPAJ";"Celje";"2010";32214
"Vozila - SKUPAJ";"Celje";"2011";32481
"Vozila - SKUPAJ";"Celje";"2012";32027
"Vozila - SKUPAJ";"Celje";"2013";31758
"Vozila - SKUPAJ";"Celje";"2014";31767
"Vozila - SKUPAJ";"Celje";"2015";32060
"Vozila - SKUPAJ";"Celje";"2016";32945
"Vozila - SKUPAJ";"Celje";"2017";34762
"Vozila - SKUPAJ";"Celje";"2018";35851
"Vozila - SKUPAJ";"Celje";"2019";37029
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2010";5499
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2011";5611
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2012";5729
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2013";5941
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2014";6075
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2015";6153
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2016";6387
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2017";6569
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2018";6861
"Vozila - SKUPAJ";"Cerklje na Gorenjskem";"2019";7051
"Vozila - SKUPAJ";"Cerknica";"2010";8163
"Vozila - SKUPAJ";"Cerknica";"2011";8351
"Vozila - SKUPAJ";"Cerknica";"2012";8456
"Vozila - SKUPAJ";"Cerknica";"2013";8534
"Vozila - SKUPAJ";"Cerknica";"2014";8717
"Vozila - SKUPAJ";"Cerknica";"2015";8907
"Vozila - SKUPAJ";"Cerknica";"2016";9129
"Vozila - SKUPAJ";"Cerknica";"2017";9524
"Vozila - SKUPAJ";"Cerknica";"2018";9793
"Vozila - SKUPAJ";"Cerknica";"2019";9992
"Vozila - SKUPAJ";"Cerkno";"2010";3344
"Vozila - SKUPAJ";"Cerkno";"2011";3426
"Vozila - SKUPAJ";"Cerkno";"2012";3442
"Vozila - SKUPAJ";"Cerkno";"2013";3426
"Vozila - SKUPAJ";"Cerkno";"2014";3486
"Vozila - SKUPAJ";"Cerkno";"2015";3516
"Vozila - SKUPAJ";"Cerkno";"2016";3564
"Vozila - SKUPAJ";"Cerkno";"2017";3660
"Vozila - SKUPAJ";"Cerkno";"2018";3761
"Vozila - SKUPAJ";"Cerkno";"2019";3828
"Vozila - SKUPAJ";"Cerkvenjak";"2010";1445
"Vozila - SKUPAJ";"Cerkvenjak";"2011";1462
"Vozila - SKUPAJ";"Cerkvenjak";"2012";1480
"Vozila - SKUPAJ";"Cerkvenjak";"2013";1500
"Vozila - SKUPAJ";"Cerkvenjak";"2014";1542
"Vozila - SKUPAJ";"Cerkvenjak";"2015";1580
"Vozila - SKUPAJ";"Cerkvenjak";"2016";1614
"Vozila - SKUPAJ";"Cerkvenjak";"2017";1681
"Vozila - SKUPAJ";"Cerkvenjak";"2018";1750
"Vozila - SKUPAJ";"Cerkvenjak";"2019";1799
"Vozila - SKUPAJ";"Cirkulane";"2010";1042
"Vozila - SKUPAJ";"Cirkulane";"2011";1262
"Vozila - SKUPAJ";"Cirkulane";"2012";1412
"Vozila - SKUPAJ";"Cirkulane";"2013";1521
"Vozila - SKUPAJ";"Cirkulane";"2014";1533
"Vozila - SKUPAJ";"Cirkulane";"2015";1584
"Vozila - SKUPAJ";"Cirkulane";"2016";1582
"Vozila - SKUPAJ";"Cirkulane";"2017";1653
"Vozila - SKUPAJ";"Cirkulane";"2018";1722
"Vozila - SKUPAJ";"Cirkulane";"2019";1791
"Vozila - SKUPAJ";"Èrenšovci";"2010";2989
"Vozila - SKUPAJ";"Èrenšovci";"2011";2969
"Vozila - SKUPAJ";"Èrenšovci";"2012";2889
"Vozila - SKUPAJ";"Èrenšovci";"2013";2943
"Vozila - SKUPAJ";"Èrenšovci";"2014";2959
"Vozila - SKUPAJ";"Èrenšovci";"2015";2988
"Vozila - SKUPAJ";"Èrenšovci";"2016";3042
"Vozila - SKUPAJ";"Èrenšovci";"2017";3194
"Vozila - SKUPAJ";"Èrenšovci";"2018";3209
"Vozila - SKUPAJ";"Èrenšovci";"2019";3340
"Vozila - SKUPAJ";"Èrna na Koroškem";"2010";1847
"Vozila - SKUPAJ";"Èrna na Koroškem";"2011";1894
"Vozila - SKUPAJ";"Èrna na Koroškem";"2012";1891
"Vozila - SKUPAJ";"Èrna na Koroškem";"2013";1899
"Vozila - SKUPAJ";"Èrna na Koroškem";"2014";1886
"Vozila - SKUPAJ";"Èrna na Koroškem";"2015";1912
"Vozila - SKUPAJ";"Èrna na Koroškem";"2016";1978
"Vozila - SKUPAJ";"Èrna na Koroškem";"2017";2012
"Vozila - SKUPAJ";"Èrna na Koroškem";"2018";2055
"Vozila - SKUPAJ";"Èrna na Koroškem";"2019";2070
"Vozila - SKUPAJ";"Èrnomelj";"2010";9649
"Vozila - SKUPAJ";"Èrnomelj";"2011";9804
"Vozila - SKUPAJ";"Èrnomelj";"2012";9923
"Vozila - SKUPAJ";"Èrnomelj";"2013";9995
"Vozila - SKUPAJ";"Èrnomelj";"2014";10238
"Vozila - SKUPAJ";"Èrnomelj";"2015";10351
"Vozila - SKUPAJ";"Èrnomelj";"2016";10663
"Vozila - SKUPAJ";"Èrnomelj";"2017";11050
"Vozila - SKUPAJ";"Èrnomelj";"2018";11646
"Vozila - SKUPAJ";"Èrnomelj";"2019";11922
"Vozila - SKUPAJ";"Destrnik";"2010";1873
"Vozila - SKUPAJ";"Destrnik";"2011";1913
"Vozila - SKUPAJ";"Destrnik";"2012";1923
"Vozila - SKUPAJ";"Destrnik";"2013";1970
"Vozila - SKUPAJ";"Destrnik";"2014";1967
"Vozila - SKUPAJ";"Destrnik";"2015";1984
"Vozila - SKUPAJ";"Destrnik";"2016";1997
"Vozila - SKUPAJ";"Destrnik";"2017";2085
"Vozila - SKUPAJ";"Destrnik";"2018";2157
"Vozila - SKUPAJ";"Destrnik";"2019";2230
"Vozila - SKUPAJ";"Divaèa";"2010";3027
"Vozila - SKUPAJ";"Divaèa";"2011";3076
"Vozila - SKUPAJ";"Divaèa";"2012";3079
"Vozila - SKUPAJ";"Divaèa";"2013";3103
"Vozila - SKUPAJ";"Divaèa";"2014";3208
"Vozila - SKUPAJ";"Divaèa";"2015";3205
"Vozila - SKUPAJ";"Divaèa";"2016";3322
"Vozila - SKUPAJ";"Divaèa";"2017";3482
"Vozila - SKUPAJ";"Divaèa";"2018";3696
"Vozila - SKUPAJ";"Divaèa";"2019";3810
"Vozila - SKUPAJ";"Dobje";"2010";746
"Vozila - SKUPAJ";"Dobje";"2011";775
"Vozila - SKUPAJ";"Dobje";"2012";788
"Vozila - SKUPAJ";"Dobje";"2013";764
"Vozila - SKUPAJ";"Dobje";"2014";795
"Vozila - SKUPAJ";"Dobje";"2015";806
"Vozila - SKUPAJ";"Dobje";"2016";846
"Vozila - SKUPAJ";"Dobje";"2017";874
"Vozila - SKUPAJ";"Dobje";"2018";915
"Vozila - SKUPAJ";"Dobje";"2019";933
"Vozila - SKUPAJ";"Dobrepolje";"2010";2636
"Vozila - SKUPAJ";"Dobrepolje";"2011";2732
"Vozila - SKUPAJ";"Dobrepolje";"2012";2800
"Vozila - SKUPAJ";"Dobrepolje";"2013";2813
"Vozila - SKUPAJ";"Dobrepolje";"2014";2862
"Vozila - SKUPAJ";"Dobrepolje";"2015";2973
"Vozila - SKUPAJ";"Dobrepolje";"2016";3055
"Vozila - SKUPAJ";"Dobrepolje";"2017";3139
"Vozila - SKUPAJ";"Dobrepolje";"2018";3254
"Vozila - SKUPAJ";"Dobrepolje";"2019";3336
"Vozila - SKUPAJ";"Dobrna";"2010";1360
"Vozila - SKUPAJ";"Dobrna";"2011";1398
"Vozila - SKUPAJ";"Dobrna";"2012";1432
"Vozila - SKUPAJ";"Dobrna";"2013";1410
"Vozila - SKUPAJ";"Dobrna";"2014";1447
"Vozila - SKUPAJ";"Dobrna";"2015";1476
"Vozila - SKUPAJ";"Dobrna";"2016";1510
"Vozila - SKUPAJ";"Dobrna";"2017";1601
"Vozila - SKUPAJ";"Dobrna";"2018";1692
"Vozila - SKUPAJ";"Dobrna";"2019";1737
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2010";5105
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2011";5201
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2012";5304
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2013";5367
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2014";5457
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2015";5504
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2016";5640
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2017";5806
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2018";6031
"Vozila - SKUPAJ";"Dobrova - Polhov Gradec";"2019";6171
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2010";900
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2011";916
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2012";918
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2013";916
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2014";931
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2015";928
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2016";931
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2017";984
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2018";1020
"Vozila - SKUPAJ";"Dobrovnik/Dobronak";"2019";1068
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2010";3770
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2011";3878
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2012";3945
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2013";3994
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2014";4086
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2015";4172
